Altium Designer Pick and Place Locations
D:\Documents\Electronics projects\STM32F746_AppBoard\Hardware\Altium\Project Outputs\Assembly Data\Pick Place\Pick Place for STM32F746_AppBoard.csv

========================================================================================================================
File Design Information:

Date:       18/07/26
Time:       12:23
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R52","1K0","TopLayer","0603R","96.5200","68.3260","270","Resistor"
"U7_2","MCP6021T-E/OT","TopLayer","SOT-23-OT5_N","19.0880","30.4800","270","None"
"U7_1","MCP6021T-E/OT","TopLayer","SOT-23-OT5_N","19.0880","17.2720","270","None"
"R43_1","10K","TopLayer","0603R","15.5320","12.4460","0","Resistor"
"R42_1","100R","TopLayer","0603R","15.5320","18.5420","0","Resistor"
"R41_1","22K","TopLayer","0603R","15.5320","14.2240","180","Resistor"
"R40_1","1K0","TopLayer","0603R","11.4680","14.9860","270","Resistor"
"J3_1","691213710002","TopLayer","691213710002","5.8800","16.2560","270","213 Series 5MM Pitch Straight, Pcb Terminal Block, Through Hole, 2 Way"
"C49_1","100n","TopLayer","0603C","20.6248","13.2842","90","Capacitor"
"C48_1","4u7","TopLayer","0603C","18.5800","13.2080","270","Capacitor"
"C47_1","100n","TopLayer","0603C","15.5320","20.3200","180","Capacitor"
"C46_1","6n8","TopLayer","0603C","15.5320","16.0020","0","Capacitor 0402 / 0603 / 0805"
"X3","ECS-250-12-30Q-JES-TR","TopLayer","XTAL_2SM_5R0X3R2","64.0080","9.1186","180","Crystal Oscillator"
"X2","ABM8AAIG-8.000MHz-V2R-T3","TopLayer","OSC_2SM_3R2x2R5","63.0682","42.2656","90","Crystal Oscillator"
"X1","ABS07-120-32.768KHZ-T","TopLayer","XTAL_2SM_3R2X1R5","60.8584","49.5554","90","Crystal"
"U11","TPS2113ADRBR","TopLayer","DRB0008B_V","87.8230","73.2790","90","Dual In / Single Out Autoswitching Power Mux, 2.8 to 5.5 V, -40 to 85 degC, 9-pin SON (DRB), Green (RoHS & no Sb/Br)"
"U10","LD39050PU33R","BottomLayer","DFN6_0R95_3x3_TP","83.0580","64.0080","270",""
"U9","LD1117S50TR","BottomLayer","SOT-223","17.6530","59.0160","0",""
"U8","SST26VF032BA-104I/SM","TopLayer","FP-C04-056-IPC_A","64.5160","61.7220","0","IC FLASH 32MBIT SPI/QUAD 8SOIJ"
"U6_2","TCAN1051HVDR","TopLayer","FP-D0008B-IPC_B","46.3450","49.3110","90","IC TRANSCEIVER HALF 1/1 8SOIC"
"U6_1","TCAN1051HVDR","TopLayer","FP-D0008B-IPC_B","27.9400","49.3110","90","IC TRANSCEIVER HALF 1/1 8SOIC"
"U4","LAN8742A-CZ-TR","TopLayer","QFN24_0R5_4X4","62.3220","14.3160","90","LAN8742A-CZ-TR - Small Footprint RMII 10/100 Ethernet, Transceiver with HP Auto-MDIX and flexPWR Technology SQFN-24"
"U3","H1102NL","TopLayer","Transformer","40.4760","23.3230","90","replaces the KMS-1102NL"
"U2","USBLC6-4SC6","TopLayer","SOT23-6L","51.6890","22.9870","90",""
"U1","STM32F746ZGT7","TopLayer","STM-LQFP144_M","80.0100","44.1960","0","ARM Cortex-M4 32-bit MCU+FPU, 1024 KB Flash, 320 KB Internal RAM, 114 I/Os, 144-Pin LQFP, -40 to 105 degC, Tray"
"TP7","Test Point","TopLayer","TP_SMD_0.8","95.5000","77.0000","180",""
"TP6","Test Point","TopLayer","TP_SMD_0.8","80.5180","63.5000","180",""
"TP5","Test Point","TopLayer","TP_SMD_0.8","18.5420","54.3560","90",""
"TP4_2","Test Point","TopLayer","TP_SMD_0.8","46.9900","54.2290","270",""
"TP4_1","Test Point","TopLayer","TP_SMD_0.8","28.5750","54.2290","270",""
"TP3_2","Test Point","TopLayer","TP_SMD_0.8","48.2600","44.6120","90",""
"TP3_1","Test Point","TopLayer","TP_SMD_0.8","29.8550","44.6120","90",""
"TP2_2","Test Point","TopLayer","TP_SMD_0.8","44.4400","44.6661","90",""
"TP2_1","Test Point","TopLayer","TP_SMD_0.8","26.0350","44.6661","90",""
"TP1_2","Test Point","TopLayer","TP_SMD_0.8","45.7200","54.2290","270",""
"TP1_1","Test Point","TopLayer","TP_SMD_0.8","27.3050","54.2290","270",""
"T1","MMBTA05LT3G","TopLayer","SOT-23","100.4062","30.1244","180","NPN Bipolar Transistor"
"R56","1M0","BottomLayer","0603R","14.9860","5.0800","270","Resistor"
"R55","22K","TopLayer","0603R","82.4230","72.5170","180","Resistor"
"R54","390R","TopLayer","0603R","91.3892","71.8820","0","Resistor"
"R53","470R","TopLayer","0603R","101.8540","68.3260","270","Resistor 0402 / 0603 / 0805"
"R51","100K","TopLayer","0603R","82.4230","70.7390","0","Resistor"
"R50","100K","BottomLayer","0603R","86.6140","68.8340","90","Resistor"
"R49","10K","TopLayer","0603R","58.0898","61.8744","270","Resistor"
"R48","10K","TopLayer","0603R","70.6120","63.3222","270","Resistor"
"R43_2","10K","TopLayer","0603R","15.5320","25.6540","0","Resistor"
"R42_2","100R","TopLayer","0603R","15.5320","31.7500","0","Resistor"
"R41_2","22K","TopLayer","0603R","15.5320","27.4320","180","Resistor"
"R40_2","1K0","TopLayer","0603R","11.4680","28.1940","270","Resistor"
"R39_2","60R4","TopLayer","0603R","47.7520","55.8800","0","Resistor"
"R39_1","60R4","TopLayer","0603R","29.3370","55.8800","0","Resistor"
"R38_2","33R","TopLayer","0603R","48.1230","42.1610","90","Resistor"
"R38_1","33R","TopLayer","0603R","29.7180","42.1610","90","Resistor"
"R37_2","33R","TopLayer","0603R","44.4500","42.1990","90","Resistor"
"R37_1","33R","TopLayer","0603R","26.0450","42.1990","90","Resistor"
"R36_2","60R4","TopLayer","0603R","44.9580","55.8800","0","Resistor"
"R36_1","60R4","TopLayer","0603R","26.5430","55.8800","0","Resistor"
"R35","22K","TopLayer","0603R","100.4062","32.6898","0","Resistor"
"R33","47K","TopLayer","0603R","101.1936","35.1282","270","Resistor"
"R30","330R","TopLayer","0603R","101.2952","24.4094","180","Resistor"
"R29","33R","TopLayer","0603R","63.6270","23.7490","90","Resistor"
"R28","10K","TopLayer","0603R","63.7540","19.6850","180","Resistor"
